objectId,lane,nr_frames,frame_start,frame_end,speed_mean,can_change_time,time,action,slowed,can_change
139759981299920_1624205238.6648188,4,303,1127,1507,11.734498901436542,0.0,25.353273404955054,noNeed,,
139759854579088_1624205244.5917506,4,112,1429,1545,12.238444960266097,0.0,7.739420302565227,noNeed,,
139759854746768_1624205243.341384,4,237,1358,1594,12.179037267903164,0.0,15.745717167287875,noNeed,,
139759981391696_1624205239.5039947,4,491,1148,1638,13.920452341127707,0.0,32.69237886428415,noNeed,,
139759981056400_1624205242.5082042,4,353,1307,1684,12.203373041498804,0.0,25.15311598333699,noNeed,,
139759980919376_1624205240.8124194,4,485,1209,1714,15.171189602093174,0.0,33.69316597237448,noNeed,,
139759981217808_1624205246.0869427,4,192,1520,1732,14.180309735211647,0.0,14.144457794343346,noNeed,,
139759981329040_1624205245.960498,4,258,1512,1769,13.171623409460526,0.0,17.14681911861434,noNeed,,
139759854719632_1624205247.6889055,1,169,1616,1790,16.006432999892095,11.275534751151064,11.609130453847841,moveOver,,
139759981414544_1624205242.0469472,4,540,1280,1819,12.895508031980718,0.0,35.961616750712565,noNeed,,
139759981351952_1624205249.4697735,4,155,1722,1883,14.211932011360632,0.0,10.74178162683622,noNeed,,
139759980973648_1624205247.0919373,4,334,1581,1914,13.249448180905224,0.0,22.21747379960535,noNeed,,
139759854579024_1624205243.9745944,4,548,1393,1940,14.178937307920354,0.0,36.49536987502741,noNeed,,
139759981270288_1624205248.8241134,1,284,1681,1966,14.192809275838323,18.948235913176934,19.014955053716292,moveOver,,
139759981000400_1624205245.0334635,4,534,1456,1989,14.179585563504249,0.0,35.561301907476434,noNeed,,
139759854278224_1624205252.8500621,1,133,1865,2000,10.806284043527473,8.87364569173427,9.00708397281298,moveOver,,
139759854744528_1624205252.1577723,4,193,1836,2028,15.110273181374941,0.0,12.810074983556238,noNeed,,
139759980971280_1624205248.9275033,4,375,1687,2061,14.20518866708205,0.0,24.952958561718923,noNeed,,
139759854746640_1624205248.875886,4,399,1686,2084,14.42501379051822,0.0,26.554217934663452,noNeed,,
139759854550416_1624205247.4088914,4,516,1601,2117,14.618180612125684,0.0,34.42707651830739,noNeed,,
139759854550288_1624205256.161019,4,136,2009,2144,16.73678426048836,0.0,9.00708397281298,noNeed,,
139759854607824_1624205251.9365106,4,301,1832,2168,17.69945810031882,0.0,22.417631221223417,noNeed,,
139759981636240_1624205250.8513174,0,381,1778,2169,15.438492262628477,25.41999254549441,25.753588248191186,moveOver,,
139759854577104_1624205256.2479734,4,197,2016,2212,15.70374993210468,0.0,13.07695154571366,noNeed,,
139759981326864_1624205252.7110152,4,384,1859,2247,15.169483603029038,0.0,25.887026529269896,noNeed,,
139759981605072_1624205259.649606,1,105,2165,2271,11.553818621912331,7.005509756632318,7.072228897171673,moveOver,,
139759981654736_1624205251.1677039,4,534,1791,2326,13.494170710820185,0.0,35.694740188555144,noNeed,,
